rent;bedrooms;bathrooms;parkings;sizes;areas
2400;1;1;1;12 m²;Rosettenville
2400;1;1;1;0;South Hills
OA;0;0;0;0;Braamfontein
2400;0.5;1;0;0;Johannesburg Central
2419;2;1;0;0;Marshalltown
2419;1;1;0;0;Marshalltown
2420;0;1;1;35 m²;Berea
2420;0.5;1;1;7 512 m²;Berea
2450;0.5;1;1;22 m²;Johannesburg Central
2450;1;1;0;0;Johannesburg Central
OA;0;0;0;0;Braamfontein
2468;0.5;0;1;594 m²;Berea
2468;0.5;0;1;594 m²;Berea
2470;0.5;1;1;35 m²;New Doornfontein
2470;0.5;1;1;35 m²;New Doornfontein
2500;0;1;0;42 m²;Wolhuter
2500;0;1;0;35 m²;Vrededorp
2500;2;1;0;53 m²;Braamfontein
2500;1;1;0;42 m²;Wolhuter
2500;6;2;1;700 m²;Westdene
2500;3;1;1;42 m²;Westdene
2500;2;1;1;0;Auckland Park
2500;0.5;1;1;16 m²;Johannesburg Central
2500;0;1;0;0;Rosettenville
2500;1;1;0;500 m²;Highlands North
2500;0;1;0;30 m²;Johannesburg Central
2500;0.5;1;0;0;Rosettenville
2500;0;1;0;30 m²;Johannesburg Central
2500;0;1;0;30 m²;Johannesburg Central
2500;0;1;0;15 m²;Johannesburg Central
2500;0;1;0;35 m²;Vrededorp
2500;0.5;0;1;594 m²;Berea
2500;0.05;0;1;1 239 m²;Berea
2500;0;1;1;0;Johannesburg Central
2500;1;1;0;70 m²;Kenilworth
2500;2;1;0;0;Auckland Park
2500;1;1;0;0;Bellevue East
2500;1;1;0;0;Riverlea
2500;1;1;0;0;Johannesburg Central
2500;0;0;0;0;Braamfontein Werf
2500;1;1;0;0;La Rochelle
2500;0.5;1;2;0;Johannesburg Central
2500;2;1;0;0;Berea
2500;1;1;0;0;Johannesburg Central
2510;0;1;0;20 m²;Jeppestown
2520;0.5;1;1;45 m²;Berea
2522;0;1;0;20 m²;Jeppestown
2530;0.5;1;0;248 m²;Johannesburg Central
2540;0;1;0;20 m²;Jeppestown
2541;0;3;0;30 m²;Jeppestown
2550;1;1;0;0;Ormonde
2600;1;1;1;0;Rosettenville
2600;1;1;1;0;Forest Hill
2600;1;1;1;0;Kenilworth
2600;1;1;1;0;Rosettenville
2600;1;1;1;0;Turffontein
2600;1;1;1;0;Rosettenville
2600;1;1;1;0;Turffontein
2600;1;1;1;0;Rosettenville
2600;1;1;1;0;Haddon
2600;0;0;0;30 m²;Johannesburg Central
2600;0;1;1;35 m²;Johannesburg Central
2600;0.5;1;0;0;Fairview
2600;0.5;1;0;0;Rosettenville
2600;0.5;1;0;249 m²;Johannesburg Central
2600;1;1;0;40 m²;Jeppestown
2600;0.5;1;0;0;Johannesburg Central
2600;1;1;1;0;Rosettenville
2621;1;0.5;1;15 m²;Johannesburg Central
2650;0.5;1;1;0;Johannesburg Central
2650;0.5;1;0;0;Joubert Park
2650;0.5;1;0;0;Johannesburg Central
2650;0.5;1;0;0;Berea
2660;0.5;1;0;30 m²;Marshalltown
2663;0.5;1;0;248 m²;Johannesburg Central
2668;0;1;0;15 m²;Johannesburg Central
2695;0.5;1;0;0;Johannesburg Central
2695;0;1;1;498 m²;Joubert Park
2699;0.5;1;0;45 m²;Berea
2699;1;1;0;35 m²;Maboneng
2700;1;1;1;40 m²;Albertville
2700;1;1;0;42 m²;Wolhuter
2700;0;1;0;50 m²;Johannesburg Central
2700;10;6;0;0;Westdene
2700;0.5;1;0;249 m²;Johannesburg Central
2700;0.5;1;0;248 m²;Johannesburg Central
2700;3;1;1;42 m²;Westdene
2700;0;1;0;30 m²;Wolhuter
2700;1;1;1;13 m²;Johannesburg Central
2700;1;1;0;11 m²;Booysens
2717;2;1;0;0;Marshalltown
2723;0.5;1;0;249 m²;Johannesburg Central
2750;0.5;1;0;32 m²;Braamfontein
2750;0.5;1;1;24 m²;Johannesburg Central
2750;0;1;1;30 m²;Johannesburg Central
2750;1;1;0;19 m²;Newtown
2750;0.5;1;1;22 m²;Doornfontein
2750;0.5;1;0;32 m²;Braamfontein
2750;1;1;0;0;Johannesburg Central
2750;0.5;1;1;20 m²;Doornfontein
2750;1;1;0;42 m²;Wolhuter
2750;1;2;0;0;Johannesburg Central
2750;0.5;1;0;0;Hillbrow
2750;0;1;1;0;Yeoville
2800;1;1;2;480 m²;Auckland Park
2750;0;1;0;42 m²;Wolhuter
2750;1;1;0;42 m²;Wolhuter
2750;1;1;0;0;Rosettenville
2750;2;1;0;0;Jeppestown
2760;0.5;1;0;0;Marshalltown
2778;0.5;1;0;249 m²;Johannesburg Central
2800;1;1;2;480 m²;Auckland Park
2800;3;1;1;0;Westdene
2800;0;0;1;0;Bezuidenhout Valley
2800;1;1;2;0;Kensington
2800;0;1;0;30 m²;Johannesburg Central
2800;2;1;1;85 m²;Berea
2800;0;1;0;30 m²;Wolhuter
2800;0;1;1;52 m²;Troyeville
